Id,Title,CCLI,Themes,Notes,Last Scheduled Date,Genre,Mood,Purpose,Themes,Arrangement 1 Name,Arrangement 1 BPM,Arrangement 1 Length,Arrangement 1 Notes,Arrangement 1 Keys,Arrangement 2 Name,Arrangement 2 BPM,Arrangement 2 Length,Arrangement 2 Notes,Arrangement 2 Keys
12629925,C008 - Closer (Pull Me A Little Closer),6227047,"","","November 04, 2016",Contemporary,Desperation & Dependence,"","God's Love & as Father, God's Presence & Intimacy",C008 - Closer (Pull Me A Little Closer),70,0,"","G, D",,,,
12629945,C009 - Come And Fill Me Up,630307,"","",,Contemporary,"","","God's Presence & Intimacy, Holy Spirit",Default Arrangement,,0,"",A,,,,
12629953,C010 - Come As You Are,7017790,"","",,Contemporary,Reflection & Prayer,"","God's Love & as Father, Repentance",Default Arrangement,,0,"","A, B, E",,,,
12630027,C011 - Come Home Running,4274621,"","",,Contemporary,Desperation & Dependence,"","God's Love & as Father, Repentance",Default Arrangement,,0,"","C, G",,,,
12630096,C012 - Come Now Is The Time To Worship,2430948,"","","August 10, 2017",Contemporary,"",Call to Worship,Commitment & Dedication,C012 - Come Now Is The Time To Worship,112,0,"",G,,,,
12630119,C013 - Come Thou Fount,108389,"","","July 16, 2017",Traditional,"",Offering,"God's Faithfulness, Thankfulness & Adoration",C013 - Come Thou Fount,143,0,"",C,,,,
12630141,C014 - Come To The Water,6364481,"","",,Contemporary,Declarative,"",God's Kingdom & Reign,Default Arrangement,,0,"","A, E: Michelle",,,,
12630203,C015 - Come Ye Sinners,4582588,"","","January 19, 2017",Contemporary,Desperation & Dependence,"","Commitment & Dedication, Repentance",C015 - Come Ye Sinners,150,0,"",A,,,,
12630249,C016 - Consuming Fire,3818569,"","","May 31, 2017",Contemporary,Desperation & Dependence,"","God's Presence & Intimacy, Holy Spirit",Default Arrangement,,0,"",G,,,,
12635372,C018 - Create In Me A Clean Heart,27666,"","","February 09, 2017",Contemporary,Reflection & Prayer,"","Holiness & Purity, Repentance",C018 - Create In Me A Clean Heart,80,0,"",G,,,,
12634993,"D001 - Deep, Deep",,"","",,Children,"","","",Default Arrangement,,0,"",G,,,,
12635012,D002 - Did You Feel The Mountains Tremble,1097028,"","","May 14, 2017",Contemporary,Celebratory,"",Church & Unity,D002 - Did You Feel The Mountains Tremble,121,0,"",C,,,,
12637750,D003 - Do What You Want To,7035185,"","","November 04, 2016",Contemporary,Celebratory,"","Commitment & Dedication, Surrender",D003 - Do What You Want To,115,0,"",D,,,,
12540630,D004 - Doxology,4255578,"","","May 21, 2017",Traditional,Adoration,"","",D004 - Doxology,146,0,"",G,,,,
12603114,D005 - Draw Me Close,1459484,"","","December 08, 2016",Contemporary,Desperation & Dependence,"",God's Presence & Intimacy,Default Arrangement,135,0,"","Bb, A",,,,
13827126,D006 - Do It Again,7067555,"","","August 20, 2017",Contemporary,Desperation & Dependence,"","God's Faithfulness, Trust",D006 - Do It Again,172,0,"","G: Chris, Bb",,,,
13984139,Dancing Generation,4329428,"","",,"","","","",Default Arrangement,,0,"",D,,,,
12603174,E001 - Eagle's Wings,2478168,"","",,Contemporary,Desperation & Dependence,"",God's Presence & Intimacy,Default Arrangement,,0,"","G, E, F",,,,
12603218,E002 - Endless Light,6177300,"","","June 04, 2017",Contemporary,Celebratory,Call to Worship,"Commitment & Dedication, Thankfulness & Adoration",E002 - Endless Light,121.5,0,"",B,,,,
12603260,E003 - Enough,,"","",,Contemporary,Desperation & Dependence,"",Thankfulness & Adoration,Default Arrangement,,0,"",G,,,,
12600315,E004 - Ever Be,7030065,"","","February 02, 2017",Contemporary,Declarative,"","God's Faithfulness, Thankfulness & Adoration",E004 - Ever Be,134,0,"","D, G, F",,,,
12603306,E005 - Evermore,4222116,"","",,Contemporary,Celebratory,Call to Worship,"Commitment & Dedication, Thankfulness & Adoration",Default Arrangement,,0,"",G,,,,
12603330,E006 - Every Move I Make,1595726,"","",,Children,"","","",Default Arrangement,,0,"","D, G",,,,
12603881,E007 - Everything,4274676,"","",,Contemporary,Adoration,"","God's Faithfulness, Thankfulness & Adoration",Default Arrangement,,0,"",C,,,,
